ArcLength,DeltaFA
-26.1154,-0.0029414555555555694
-25.6154,-0.0011083250000000072
-25.1154,4.20106944444415E-4
-24.6154,0.0028663250000000307
-24.1154,0.006513586111111122
-23.6154,0.011916165277777807
-23.1154,0.034091916666666694
-22.6154,0.030229500000000048
-22.1154,0.017617763888888888
-21.6154,0.004220361111111098
-21.1154,-0.011256958333333317
-20.6154,-0.025611277777777802
-20.1154,-0.03615501388888884
-19.6154,-0.04281462500000002
-19.1154,-0.04630606944444446
-18.6154,-0.04663730555555562
-18.1154,-0.04320026388888887
-17.6154,-0.035974624999999955
-17.1154,-0.02538223611111115
-16.6154,-0.01295190277777783
-16.1154,-2.0361111111111274E-4
-15.6154,0.011262861111111078
-15.1154,0.019939013888888885
-14.6154,0.025372624999999954
-14.1154,0.027738291666666692
-13.6154,0.027753375000000052
-13.1154,0.026425444444444446
-12.6154,0.024862097222222268
-12.1154,0.023749861111111048
-11.6154,0.02369941666666664
-11.1154,0.02510083333333335
-10.6154,0.028137749999999906
-10.1154,0.03202019444444443
-9.61538,0.03608488888888889
-9.11538,0.039992916666666656
-8.61538,0.04273618055555556
-8.11538,0.04443497222222226
-7.61538,0.04545951388888886
-7.11538,0.04645944444444439
-6.61538,0.048985666666666594
-6.11538,0.053818916666666716
-5.61538,0.059906402777777756
-5.11538,0.06538830555555569
-4.61538,0.06852805555555563
-4.11538,0.06875402777777784
-3.61538,0.06667083333333335
-3.11538,0.06366513888888875
-2.61538,0.06116602777777774
-2.11538,0.05997683333333326
-1.61538,0.05985434722222216
-1.11538,0.05935077777777764
-0.615376,0.05645730555555556
-0.115376,0.051564
0.384624,0.04679386111111106
0.884624,0.04477430555555556
1.38462,0.04476359722222212
1.88462,0.04399102777777786
2.38462,0.0403307083333333
2.88462,0.03251800000000005
3.38462,0.021931972222222262
3.88462,0.009246833333333315
4.38462,-0.004622097222222177
4.88462,-0.019158611111111057
5.38462,-0.03259080555555549
5.88462,-0.04263294444444454
6.38462,-0.048116375000000045
6.88462,-0.04968599999999995
7.38462,-0.04908709722222221
7.88462,-0.047610333333333366
8.38462,-0.04576487499999998
8.88462,-0.04286068055555564
9.38462,-0.03798691666666665
9.88462,-0.030329930555555495
10.3846,-0.01970872222222214
10.8846,-0.005572347222222246
11.3846,0.011552999999999952
11.8846,0.02980111111111111
12.3846,0.04646369444444451
12.8846,0.06023655555555557
13.3846,0.07178494444444453
13.8846,0.08220216666666669
14.3846,0.0910967361111111
14.8846,0.09746483333333333
15.3846,0.10048130555555557
15.8846,0.09979956944444443
16.3846,0.09608483333333326
16.8846,0.09056933333333339
17.3846,0.08472570833333337
17.8846,0.08119545833333341
18.3846,0.08017909722222222
18.8846,0.08040695833333336
19.3846,0.08264797222222217
