ArcLength, DeltaFA
-20.3931,0.03852926000000009
-19.8931,0.04347480000000001
-19.3931,0.04084718499999995
-18.8931,0.03835657499999995
-18.3931,0.03560539000000004
-17.8931,0.03340834499999998
-17.3931,0.03170499500000004
-16.8931,0.030983439999999973
-16.3931,0.033062930000000046
-15.8931,0.03963613499999999
-15.3931,0.04959000499999999
-14.8931,0.062244314999999995
-14.3931,0.07630825000000005
-13.8931,0.0913459075
-13.3931,0.10926000000000005
-12.8931,0.1256564725
-12.3931,0.14129287500000004
-11.8931,0.15767215
-11.3931,0.17560451000000005
-10.8931,0.19554083499999994
-10.3931,0.21621498999999994
-9.89307,0.23465723999999996
-9.39307,0.24654824000000003
-8.89307,0.24851829000000003
-8.39307,0.23972923499999996
-7.89307,0.22303562
-7.39307,0.20473936500000003
-6.89307,0.19154539500000003
-6.39307,0.18667100499999997
-5.89307,0.18904665499999998
-5.39307,0.1969397399999999
-4.89307,0.2106208
-4.39307,0.23173165999999995
-3.89307,0.25957295999999996
-3.39307,0.289805985
-2.89307,0.31560982000000004
-2.39307,0.33115817249999996
-1.89307,0.33186058000000007
-1.39307,0.31705622
-0.893068,0.293226155
-0.393068,0.26415501249999995
0.106932,0.23887834000000002
0.606932,0.2253243
1.10693,0.22425097500000007
1.60693,0.23150960500000006
2.10693,0.24295318999999993
2.60693,0.2535320550000001
3.10693,0.26008174500000003
3.60693,0.2619819950000001
4.10693,0.2596283657142857
4.60693,0.2522214400000001
5.10693,0.23767729333333326
5.60693,0.2158880933333333
6.10693,0.1874812266666667
6.60693,0.1594082457142857
7.10693,0.14090441999999995
7.60693,0.145419945
8.10693,0.176599155
8.60693,0.22095878500000005
9.10693,0.25445206500000006
9.60693,0.2577084949999999
10.1069,0.22822421999999998
10.6069,0.17700309999999989
11.1069,0.120437865
11.6069,0.0701571849999999
12.1069,0.030448389999999936
12.6069,0.0023028849999999212
13.1069,-0.012456109999999965
13.6069,-0.011196755000000003
14.1069,0.0064408500000000535
14.6069,0.03581939500000003
15.1069,0.06773065000000003
15.6069,0.09437896999999998
16.1069,0.11175542999999996
16.6069,0.12235925499999997
