ArcLength, DeltaFA
-10.9135,0.034269350877193044
-10.4135,0.032553793859649155
-9.91353,0.033407307017543825
-9.41353,0.035161815789473666
-8.91353,0.03814583333333335
-8.41353,0.04339368421052631
-7.91353,0.05259328070175426
-7.41353,0.06719724122807016
-6.91353,0.08588039035087727
-6.41353,0.1030087324561404
-5.91353,0.11276934210526318
-5.41353,0.11352131140350888
-4.91353,0.10730456140350883
-4.41353,0.09788049561403511
-3.91353,0.0886611973684211
-3.41353,0.0823517324561403
-2.91353,0.08095973245614033
-2.41353,0.08262045614035082
-1.91353,0.08144113596491231
-1.41353,0.07361918421052638
-0.913531,0.06188374122807011
-0.413531,0.0469865043859648
0.086469,0.03294636842105267
0.586469,0.020226570175438552
1.08647,0.01011369298245604
1.58647,0.005792903508771985
2.08647,0.016710574561403596
2.58647,0.04515733771929817
3.08647,0.08079495614035079
3.58647,0.10627189912280693
4.08647,0.1095293728070176
4.58647,0.08839720614035093
5.08647,0.047092057017543903
5.58647,-0.0036918947368421162
6.08647,-0.0531198640350877
6.58647,-0.09175382456140352
7.08647,-0.11621248245614041
7.58647,-0.12731362280701752
8.08647,-0.12811644144144144
8.58647,-0.12136037162162167
9.08647,-0.10725620720720724
9.58647,-0.07969547522522522
10.0865,-0.0369232905405405
10.5865,-0.012183528571428515
11.0865,0.002202728494623718
11.5865,0.015812486559139693
12.0865,0.03844272121212122
12.5865,0.06423706060606077
13.0865,0.0909308484848485
