ArcLength, DeltaFA
-18.9593,0.016092346198830404
-18.4593,0.012752122514619935
-17.9593,0.010931128654970784
-17.4593,0.011373681286549697
-16.9593,0.013511690058479547
-16.4593,0.013576751461988307
-15.9593,0.005076289473684298
-15.4593,-0.006019599415204663
-14.9593,-0.01503789181286544
-14.4593,-0.02135368128654974
-13.9593,-0.025633391812865475
-13.4593,-0.02752640350877189
-12.9593,-0.026833394736842126
-12.4593,-0.023662505847953375
-11.9593,-0.017279675438596515
-11.4593,-0.006562207602339221
-10.9593,0.008505973684210522
-10.4593,0.026576719298245566
-9.95928,0.044906830409356724
-9.45928,0.059600786549707574
-8.95928,0.06829606432748547
-8.45928,0.06987981578947372
-7.95928,0.06582240935672518
-7.45928,0.06019485964912269
-6.95928,0.058566754385965036
-6.45928,0.06395040935672519
-5.95928,0.07680490643274857
-5.45928,0.09706070467836259
-4.95928,0.12499683625730995
-4.45928,0.16123130701754385
-3.95928,0.20009235672514591
-3.45928,0.23111575438596504
-2.95928,0.2449657894736843
-2.45928,0.24073955847953193
-1.95928,0.22329886842105268
-1.45928,0.1987189064327486
-0.959279,0.1733546169590643
-0.459279,0.14892869005847953
0.0407205,0.13149654678362577
0.540721,0.12765069005847962
1.04072,0.13715695321637444
1.54072,0.15411066959064323
2.04072,0.1727180526315789
2.54072,0.18473598245614042
3.04072,0.18392777485380135
3.54072,0.16764342982456132
4.04072,0.13736510526315798
4.54072,0.10085383918128649
5.04072,0.06694457017543848
5.54072,0.041454964912280734
6.04072,0.025741842105263202
6.54072,0.018714187134502958
7.04072,0.018657956140350818
7.54072,0.0236958684210527
8.04072,0.03128018128654969
8.54072,0.03657054678362576
9.04072,0.03556535672514621
9.54072,0.027098891812865566
10.0407,0.012341365497076096
10.5407,-0.005535400584795291
11.0407,-0.022570827485380085
11.5407,-0.03588902046783626
12.0407,-0.04427652339181287
12.5407,-0.047967476608187065
13.0407,-0.04806108479532162
13.5407,-0.04564361695906438
14.0407,-0.04131020467836266
14.5407,-0.035018959064327504
15.0407,-0.02657159649122809
15.5407,-0.014942152046783647
16.0407,0.0028757397660818806
16.5407,0.023616704678362604
17.0407,0.030248375146198853
17.5407,0.028882362573099424
18.0407,0.027720531871345017
18.5407,0.02586934210526315
