Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM,Atlas
-9.31114,0.00142183,0.00119396,0.00148128,0.000975422,0.00140431,0.00141308,0.00107361,0.00119441,0.000769042,0.00131014,0.00142179,0.00136586,0.00134124,0.00160473,0.000906849,0.00135061,0.00148851,0.00145881,0.00149869,0.00164887,0.00117967,0.00121813,0.00119936,0.00118514,0.0014655,0.00131008,0.00135815,0.00110701,0.00134619,0.00133649,0.0014343,0.00137637,0.00142107,0.00111336,0.0012139,0.00131849,0.00146265,0.00122912,0.000765336
-8.81114,0.00135609,0.00108566,0.00135665,0.000974263,0.00126441,0.0012881,0.00108843,0.0011312,0.000868208,0.00119044,0.00135212,0.00124984,0.00119144,0.00149256,0.000951864,0.00128078,0.00140236,0.00132967,0.00147917,0.00155833,0.00112129,0.00119136,0.00107792,0.00105481,0.00134131,0.00126124,0.00125961,0.00116324,0.00122494,0.00122619,0.00126044,0.00121283,0.00131606,0.0011061,0.00113919,0.00119578,0.0013149,0.00111287,0.000870263
-8.31114,0.00125682,0.000975999,0.00120108,0.000924792,0.00112558,0.00115105,0.00105203,0.00106156,0.000848513,0.00107872,0.00125132,0.00109306,0.0010489,0.00136591,0.00101705,0.00122651,0.00127516,0.00117733,0.0014213,0.00145057,0.00106433,0.00115011,0.00095006,0.000910159,0.00124646,0.00120645,0.00117512,0.00112902,0.00111355,0.00109985,0.00110766,0.00108813,0.00120413,0.00103948,0.00104557,0.00107262,0.0011564,0.00100148,0.000938899
-7.81114,0.00111774,0.000871261,0.00103033,0.000832579,0.000989393,0.00101237,0.000972367,0.000972846,0.000752242,0.000975024,0.0011114,0.000927609,0.000921922,0.00122518,0.00111856,0.00116877,0.00113835,0.0010273,0.00130883,0.00131223,0.000997384,0.00108363,0.000850167,0.000791412,0.00115555,0.00113074,0.00108673,0.00105684,0.000999068,0.000987319,0.000985184,0.000994211,0.00108064,0.000955747,0.000945383,0.000958437,0.00101642,0.000898093,0.000947003
-7.31114,0.000959031,0.000785618,0.000878643,0.000741751,0.00086253,0.000890492,0.000869637,0.000870346,0.000670627,0.00087931,0.000958043,0.000800456,0.000829704,0.00108028,0.00113788,0.00109849,0.0010113,0.000904312,0.00117401,0.0011577,0.000932089,0.0010025,0.000799834,0.000724467,0.00105607,0.00103212,0.000984607,0.00096929,0.000892745,0.000916139,0.000888211,0.000918402,0.000962229,0.000876893,0.000854204,0.000874535,0.000909513,0.000820509,0.00090612
-6.81114,0.00081863,0.000733416,0.000776155,0.000681819,0.000763553,0.000800994,0.00077893,0.00077797,0.000643434,0.000803796,0.000836869,0.000738127,0.000790662,0.000957373,0.00107223,0.00102018,0.000918474,0.000828166,0.00105088,0.00101709,0.000896718,0.00093479,0.000798771,0.000708784,0.000962328,0.000940847,0.00088019,0.000892252,0.000820478,0.000896197,0.000820753,0.000862278,0.000875849,0.000823174,0.000785341,0.00084165,0.000840442,0.000790685,0.000851187
-6.31114,0.000728161,0.000724411,0.000729883,0.00066696,0.000709741,0.000751457,0.000736165,0.000723133,0.000674368,0.000764683,0.000780998,0.00073835,0.000807853,0.000882346,0.00098228,0.000949932,0.000878942,0.000808498,0.00096133,0.000920643,0.000911963,0.000912418,0.000827647,0.000725369,0.000896255,0.000893429,0.000797434,0.000839077,0.000800957,0.000915028,0.000797044,0.000836688,0.000837855,0.000803559,0.000748439,0.000864288,0.000809382,0.000817976,0.000812373
-5.81114,0.000703203,0.000754063,0.000728549,0.000697877,0.000709086,0.000744943,0.000760419,0.000718084,0.000748682,0.000770547,0.000790612,0.000778517,0.00086459,0.000870658,0.00092317,0.000909519,0.000890989,0.000840883,0.000926306,0.000882232,0.000973265,0.000950881,0.000864154,0.000752275,0.000871875,0.000899562,0.000761037,0.000815601,0.000830989,0.000953107,0.00082105,0.000847722,0.000845128,0.000812198,0.000745894,0.000927966,0.000813862,0.00089263,0.000804907
-5.31114,0.000736145,0.000804618,0.000757346,0.000760108,0.000756248,0.000780858,0.000839107,0.000755541,0.000849714,0.000807788,0.000839484,0.000833905,0.000942666,0.000912062,0.000916858,0.000910468,0.000936483,0.0009056,0.000952871,0.000897274,0.00105491,0.00103628,0.000900173,0.00077906,0.000891467,0.00094176,0.00077783,0.000822119,0.00089087,0.000997968,0.000881954,0.000889628,0.000878853,0.000840893,0.000771486,0.00100579,0.0008482,0.000991127,0.000827118
-4.81114,0.000804874,0.000857181,0.000801386,0.000830003,0.000833597,0.000844732,0.000932561,0.000813276,0.000957132,0.000852863,0.00089679,0.000884547,0.00103385,0.00097895,0.000956417,0.000952065,0.0009946,0.000975127,0.00102766,0.00094791,0.00112462,0.00112839,0.000937053,0.000806974,0.000948843,0.000991081,0.00083281,0.000851041,0.000955633,0.00104397,0.00095859,0.000949871,0.000917638,0.000881776,0.000812772,0.0010758,0.000899989,0.00108763,0.000866535
