ArcLength,DeltaFA
-31.8123,-0.06864992395644287
-31.3123,-0.07453470299455542
-30.8123,-0.08162876088929219
-30.3123,-0.08847789954627955
-29.8123,-0.09408104137931037
-29.3123,-0.0981257450090744
-28.8123,-0.10020602450090732
-28.3123,-0.10066940018148818
-27.8123,-0.09998666515426491
-27.3123,-0.09834709346642465
-26.8123,-0.09605987658802181
-26.3123,-0.0932248484573501
-25.8123,-0.08986324319419231
-25.3123,-0.08611000998185114
-24.8123,-0.08203220054446461
-24.3123,-0.0777913176043557
-23.8123,-0.07339852177858441
-23.3123,-0.0685658729582578
-22.8123,-0.06313998094373857
-22.3123,-0.05682775771324872
-21.8123,-0.0497127214156079
-21.3123,-0.042050592558983635
-20.8123,-0.03404602631578951
-20.3123,-0.026070782214156096
-19.8123,-0.0180681252268603
-19.3123,-0.010114948275861957
-18.8123,-0.002337654264972955
-18.3123,0.004972786751361313
-17.8123,0.011327129764065358
-17.3123,0.01640960526315796
-16.8123,0.020146116152450072
-16.3123,0.02276124773139751
-15.8123,0.024665284029038087
-15.3123,0.025988096188747783
-14.8123,0.02692483303085294
-14.3123,0.027558666061706122
-13.8123,0.027564682395644274
-13.3123,0.026566308529945654
-12.8123,0.02453848003629766
-12.3123,0.021749271324863872
-11.8123,0.01870023049001815
-11.3123,0.015991105263157834
-10.8123,0.014263108892921927
-10.3123,0.014556648820326756
-9.81233,0.017677380217785643
-9.31233,0.023210136116152524
-8.81233,0.030299833030853096
-8.31233,0.03797689292196016
-7.81233,0.046045565335753214
-7.31233,0.05462968602540824
-6.81233,0.06325142558983676
-6.31233,0.07109478221415622
-5.81233,0.07730363883847557
-5.31233,0.08145221960072596
-4.81233,0.08276093829401104
-4.31233,0.08091710072595265
-3.81233,0.07662621778584394
-3.31233,0.07206505989110706
-2.81233,0.06966914700544469
-2.31233,0.06954931397459174
-1.81233,0.06961636388384762
-1.31233,0.06785620508166978
-0.812329,0.0642974491833031
-0.312329,0.06069632758620702
0.187671,0.05986988566243168
0.687671,0.06131563067150664
1.18767,0.062288328493647904
1.68767,0.06131751270417429
2.18767,0.05966594283121579
2.68767,0.060541890199637016
3.18767,0.06548659709618876
3.68767,0.07310515335753176
4.18767,0.0804370235934665
4.68767,0.08474096914700541
5.18767,0.08440446642468247
5.68767,0.07850485662431927
6.18767,0.06774008439201473
6.68767,0.05488431760435569
7.18767,0.04348282486388372
7.68767,0.03592431760435583
8.18767,0.031958892921960025
8.68767,0.030456619782214145
9.18767,0.030844917422867574
9.68767,0.03267445099818514
10.1877,0.0350877595281307
10.6877,0.0369452549909256
11.1877,0.03762923411978222
11.6877,0.03745524410163342
12.1877,0.036914259528130655
12.6877,0.0360274101633396
13.1877,0.034414515426497205
13.6877,0.03154822232304905
14.1877,0.0273749700544465
14.6877,0.022377404718693317
15.1877,0.01725913793103445
15.6877,0.012616971869328475
16.1877,0.008540598003629718
16.6877,0.004552586206896692
17.1877,-1.0476769509976114E-4
17.6877,-0.005761222323048987
18.1877,-0.012441673321234026
18.6877,-0.019663082577132618
19.1877,-0.027018004537204987
19.6877,-0.03420092196007263
20.1877,-0.04108879038112506
20.6877,-0.047745449183302924
21.1877,-0.05428498548094368
21.6877,-0.06090322867513609
22.1877,-0.06743778675136114
22.6877,-0.07375807441016335
23.1877,-0.0796048221415609
23.6877,-0.0847180653357533
24.1877,-0.08883532032667876
24.6877,-0.09181750907441008
25.1877,-0.09372127041742284
25.6877,-0.09443284664246834
26.1877,-0.09392319237749533
26.6877,-0.09233904264972789
27.1877,-0.08989971234119798
27.6877,-0.0871346696914701
28.1877,-0.08442385208711436
28.6877,-0.08191641288566243
29.1877,-0.07955808257713246
29.6877,-0.07639120780399275
30.1877,-0.07193121052631576
30.6877,-0.0651514519056261
31.1877,-0.0538791792196007
