ArcLength,DeltaFA
-25.5673,0.17988691666666662
-25.0673,0.18490491666666664
-24.5673,0.16729179166666652
-24.0673,0.14318313095238094
-23.5673,0.13276585714285727
-23.0673,0.12796734523809522
-22.5673,0.12861085714285708
-22.0673,0.13540441666666664
-21.5673,0.14948675000000006
-21.0673,0.17097787499999995
-20.5673,0.1953217916666668
-20.0673,0.2189954999999999
-19.5673,0.24025266666666656
-19.0673,0.2599312916666667
-18.5673,0.2802185833333335
-18.0673,0.3020047916666666
-17.5673,0.32319195833333336
-17.0673,0.33867491666666666
-16.5673,0.34253625
-16.0673,0.33253808333333346
-15.5673,0.30985062500000005
-15.0673,0.2778672083333334
-14.5673,0.2398952083333333
-14.0673,0.201270375
-13.5673,0.16855016666666667
-13.0673,0.14716608333333336
-12.5673,0.13777025000000004
-12.0673,0.13579370833333337
-11.5673,0.13428312499999998
-11.0673,0.12993729166666665
-10.5673,0.12436966666666668
-10.0673,0.1216010833333333
-9.56728,0.12443420833333335
-9.06728,0.13121900000000009
-8.56728,0.1376197916666667
-8.06728,0.14046049999999993
-7.56728,0.13972095833333337
-7.06728,0.13724962500000004
-6.56728,0.13399283333333334
-6.06728,0.1290072916666667
-5.56728,0.12136229166666662
-5.06728,0.11200870833333332
-4.56728,0.10420529166666676
-4.06728,0.10144420833333334
-3.56728,0.10284341666666658
-3.06728,0.10496341666666664
-2.56728,0.10554666666666657
-2.06728,0.10533008333333332
-1.56728,0.1070463333333333
-1.06728,0.1114495416666666
-0.567279,0.11734233333333338
-0.0672789,0.1242590833333333
0.432721,0.13162945833333334
0.932721,0.13904545833333332
1.43272,0.14645741666666656
1.93272,0.15420099999999998
2.43272,0.16240908333333332
2.93272,0.171921125
3.43272,0.18300324999999995
3.93272,0.19435079166666672
4.43272,0.2030880416666667
4.93272,0.2071583333333333
5.43272,0.20577159583333335
5.93272,0.19851052500000002
6.43272,0.1846938875
6.93272,0.16358869583333335
7.43272,0.1363528125
7.93272,0.10655130416666668
8.43272,0.07883735000000003
8.93272,0.05664219999999999
9.43272,0.04008491666666664
9.93272,0.027864333333333324
10.4327,0.018558208333333326
10.9327,0.011876541666666685
11.4327,0.007942958333333333
11.9327,0.006120125000000032
12.4327,0.005878666666666643
12.9327,0.0068878750000000155
13.4327,0.009116416666666655
13.9327,0.012749500000000025
14.4327,0.017742291666666632
14.9327,0.02391400000000002
15.4327,0.030351833333333356
15.9327,0.03621529166666668
16.4327,0.0408466666666667
16.9327,0.04494045833333332
17.4327,0.049801916666666696
17.9327,0.055550624999999965
18.4327,0.06168683333333336
18.9327,0.06680458333333336
19.4327,0.06849171666666669
19.9327,0.06469014166666665
20.4327,0.0544985958333333
20.9327,0.04008299583333333
21.4327,0.026707062499999976
21.9327,0.018744433333333338
22.4327,0.018545141666666667
22.9327,0.023735033333333322
23.4327,0.02988707916666665
23.9327,0.03682097916666667
