ArcLength,DeltaFA
-15.2645,NaN
-14.7645,NaN
-14.2645,NaN
-13.7645,NaN
-13.2645,0.2752736
-12.7645,0.2927106333333333
-12.2645,0.3333128
-11.7645,0.3676426666666666
-11.2645,0.3657742466666666
-10.7645,0.32415606249999995
-10.2645,0.288815111111111
-9.76446,0.24337891228070183
-9.26446,0.20892733333333333
-8.76446,0.17095083333333339
-8.26446,0.14334292610837457
-7.76446,0.13526429004329005
-7.26446,0.1548126165413533
-6.76446,0.17890786466165415
-6.26446,0.21320223684210526
-5.76446,0.24880237218045137
-5.26446,0.2763007518796993
-4.76446,0.290150060150376
-4.26446,0.2906983721804512
-3.76446,0.28356187218045115
-3.26446,0.27714910526315795
-2.76446,0.27713950751879707
-2.26446,0.28287744736842124
-1.76446,0.28834513909774456
-1.26446,0.2869458909774435
-0.764459,0.27592825187969916
-0.264459,0.2557228947368421
0.235541,0.22690287593984954
0.735541,0.19534530075187972
1.23554,0.17254043233082703
1.73554,0.1573734511278196
2.23554,0.14922283458646624
2.73554,0.13828728289473682
3.23554,0.1128035921052632
3.73554,0.07874719078947362
4.23554,0.04832571052631579
4.73554,0.031163953947368483
5.23554,0.030260723684210455
5.73554,0.04365838157894736
6.23554,0.06548334868421046
6.73554,0.08871886842105259
7.23554,0.10812506578947367
7.73554,0.12171267763157884
8.23554,0.1304615065789474
8.73554,0.13528199342105263
9.23554,0.1354362171052632
9.73554,0.13040279802631577
10.2355,0.12054493618421051
10.7355,0.1085181368421052
11.2355,0.09717215855263159
11.7355,0.08636227565789471
12.2355,0.07688817960526322
